Date,Product_ID,Product_Name,Warehouse,Quantity_On_Hand,Quantity_Reserved,Quantity_Available,Reorder_Point,Reorder_Quantity,Unit_Cost,Total_Value,Last_Received,Next_Expected,Status
2024-12-01,TV-LCD-32-001,LCD 32" TV Basic,Warehouse-East,245,12,233,50,100,180.00,44100.00,2024-11-25,2024-12-15,Normal
2024-12-01,TV-LCD-32-001,LCD 32" TV Basic,Warehouse-West,189,8,181,50,100,180.00,34020.00,2024-11-22,2024-12-18,Normal
2024-12-01,TV-LCD-32-001,LCD 32" TV Basic,Warehouse-Central,312,25,287,75,150,180.00,56160.00,2024-11-28,2024-12-10,Normal
2024-12-01,TV-LCD-40-001,LCD 40" TV Standard,Warehouse-East,178,15,163,40,80,240.00,42720.00,2024-11-20,2024-12-12,Normal
2024-12-01,TV-LCD-40-001,LCD 40" TV Standard,Warehouse-West,145,10,135,40,80,240.00,34800.00,2024-11-18,2024-12-20,Normal
2024-12-01,TV-LCD-40-001,LCD 40" TV Standard,Warehouse-Central,223,18,205,60,120,240.00,53520.00,2024-11-24,2024-12-08,Normal
2024-12-01,TV-LCD-43-001,LCD 43" TV Enhanced,Warehouse-East,156,22,134,35,70,270.00,42120.00,2024-11-26,2024-12-14,Normal
2024-12-01,TV-LCD-43-001,LCD 43" TV Enhanced,Warehouse-West,98,8,90,35,70,270.00,26460.00,2024-11-19,2024-12-16,Normal
2024-12-01,TV-LCD-43-001,LCD 43" TV Enhanced,Warehouse-Central,187,30,157,50,100,270.00,50490.00,2024-11-29,2024-12-06,Normal
2024-12-01,TV-LCD-45-001,LCD 45" TV Premium,Warehouse-East,134,18,116,30,60,300.00,40200.00,2024-11-21,2024-12-11,Normal
2024-12-01,TV-LCD-45-001,LCD 45" TV Premium,Warehouse-West,112,12,100,30,60,300.00,33600.00,2024-11-23,2024-12-19,Normal
2024-12-01,TV-LCD-45-001,LCD 45" TV Premium,Warehouse-Central,167,25,142,45,90,300.00,50100.00,2024-11-27,2024-12-07,Normal
2024-12-01,TV-LCD-50-001,LCD 50" TV Standard,Warehouse-East,145,20,125,35,70,330.00,47850.00,2024-11-24,2024-12-13,Normal
2024-12-01,TV-LCD-50-001,LCD 50" TV Standard,Warehouse-West,98,6,92,35,70,330.00,32340.00,2024-11-17,2024-12-21,Normal
2024-12-01,TV-LCD-50-001,LCD 50" TV Standard,Warehouse-Central,178,28,150,50,100,330.00,58740.00,2024-11-30,2024-12-05,Normal
2024-12-01,TV-LCD-55-001,LCD 55" TV Enhanced,Warehouse-East,112,15,97,30,60,390.00,43680.00,2024-11-22,2024-12-12,Normal
2024-12-01,TV-LCD-55-001,LCD 55" TV Enhanced,Warehouse-West,87,10,77,30,60,390.00,33930.00,2024-11-19,2024-12-17,Normal
2024-12-01,TV-LCD-55-001,LCD 55" TV Enhanced,Warehouse-Central,145,22,123,45,90,390.00,56550.00,2024-11-28,2024-12-08,Normal
2024-12-01,TV-LCD-60-001,LCD 60" TV Premium,Warehouse-East,78,12,66,25,50,450.00,35100.00,2024-11-25,2024-12-15,Normal
