Supplier_ID,Supplier_Name,Component_ID,Component_Name,Unit_Price,Currency,MOQ,Lead_Time_Days,Quote_Date,Valid_Until,Payment_Terms,Quality_Rating,On_Time_Delivery
SUP-5644,TCL CSOT,COMP-10620,Main Board,56.13,EUR,2000,115,2024-11-12,2025-03-07,LC at Sight,97.5,88.5
SUP-6719,TCL CSOT,COMP-79840,LED Backlight,40.66,EUR,200,82,2024-11-06,2025-02-13,Net 90,85.3,85.2
SUP-6244,Sharp Corporation,COMP-45595,LCD Panel,244.41,CNY,100,54,2024-11-18,2025-04-24,Net 90,97.7,98.0
SUP-7174,AU Optronics,COMP-58395,Remote Control,3.0,EUR,100,53,2024-11-18,2025-02-05,Net 60,93.2,96.8
SUP-6110,Tianma,COMP-36856,OLED Panel,225.7,CNY,100,61,2024-11-07,2025-03-21,Net 60,93.8,87.5
SUP-2112,JDI,COMP-45319,Power Supply,74.63,EUR,1000,58,2024-11-06,2025-03-27,LC at Sight,87.8,86.1
SUP-6084,Visionox,COMP-21559,T-Con Board,55.13,USD,2000,98,2024-11-22,2025-04-29,Net 60,86.8,98.7
SUP-4217,BOE Technology,COMP-40118,Main Board,52.07,USD,500,95,2024-11-16,2025-04-26,30% Deposit,93.1,93.3
SUP-4465,JDI,COMP-57680,Stand,22.24,CNY,200,69,2024-11-09,2025-02-18,LC at Sight,93.8,87.4
SUP-3395,Sharp Corporation,COMP-10216,Bezel,7.39,USD,2000,57,2024-11-08,2025-04-27,Net 90,94.5,87.9
SUP-4477,Visionox,COMP-13342,Stand,13.42,USD,100,50,2024-11-11,2025-04-12,Net 90,99.9,87.7
SUP-9706,Tianma,COMP-38199,Power Supply,20.03,USD,1000,35,2024-11-12,2025-02-05,Net 60,99.3,91.3
SUP-9959,Visionox,COMP-41041,Main Board,57.72,USD,100,116,2024-11-01,2025-04-22,30% Deposit,86.9,90.8
SUP-9104,JDI,COMP-29306,Main Board,64.37,USD,100,120,2024-11-04,2025-03-27,30% Deposit,95.2,89.9
SUP-2332,Samsung Display,COMP-25316,Power Supply,44.43,USD,200,41,2024-11-02,2025-01-03,Net 30,91.9,98.0
SUP-2985,Tianma,COMP-75534,Bezel,19.53,USD,1000,119,2024-11-16,2025-01-25,Net 60,89.4,93.1
SUP-4927,Tianma,COMP-11364,T-Con Board,23.31,USD,1000,98,2024-11-22,2025-03-02,Net 60,98.6,99.3
SUP-6435,JDI,COMP-97265,LED Backlight,10.42,EUR,2000,78,2024-11-27,2025-02-23,Net 60,88.9,98.5
SUP-2851,Sharp Corporation,COMP-98511,Remote Control,5.73,EUR,200,48,2024-11-17,2025-05-05,Net 90,94.9,89.6
SUP-6354,Visionox,COMP-56690,LCD Panel,187.41,CNY,1000,106,2024-11-24,2025-03-11,Net 30,89.2,86.2
SUP-5820,TCL CSOT,COMP-14872,Remote Control,10.35,CNY,1000,71,2024-11-13,2025-01-12,LC at Sight,89.9,91.7
SUP-3234,BOE Technology,COMP-87285,Main Board,44.0,USD,2000,51,2024-11-19,2025-02-09,Net 60,99.8,91.5
SUP-8630,Sharp Corporation,COMP-29843,T-Con Board,46.07,EUR,500,48,2024-11-24,2025-03-18,Net 30,92.8,89.1
SUP-6870,Samsung Display,COMP-74701,Bezel,10.13,USD,2000,57,2024-11-22,2025-04-01,Net 30,94.5,82.0
SUP-5198,Innolux,COMP-58215,Main Board,46.34,USD,200,64,2024-11-05,2025-02-12,Net 30,96.8,88.0
SUP-5037,Innolux,COMP-77336,Bezel,22.7,EUR,2000,89,2024-11-05,2025-05-03,30% Deposit,86.3,90.4
SUP-2775,BOE Technology,COMP-25222,Power Supply,29.25,USD,1000,77,2024-11-25,2025-05-13,Net 30,95.5,88.2
